x y1 y1_err y2 y2_err
0.0 0.3118944444444444 0.010680533276249661 0.39515000000000017 0.013087681573784314
0.03 0.30038888888888887 0.010714977598003491 0.3817111111111112 0.013013813865609493
0.06 0.2889777777777777 0.010728919875695795 0.3679222222222222 0.012948188235151788
0.09 0.27806111111111104 0.01090941556070373 0.35395 0.01310105305016458
0.12 0.2679333333333333 0.011014798582893837 0.3409222222222221 0.013220761523392755
0.15 0.2573833333333333 0.011104440064225996 0.32874999999999993 0.013284811960037649
0.18 0.24703333333333335 0.01126120757212223 0.31627777777777766 0.013484284793357258
0.21 0.23719999999999997 0.011381227591698373 0.3039777777777777 0.01355700773302732
0.24 0.22847777777777786 0.011481482585100082 0.2922777777777777 0.01374379313578911
0.27 0.21985555555555555 0.011580375976760442 0.281488888888889 0.013935026493748065
0.3 0.21188888888888885 0.011519179853568096 0.27224444444444446 0.013774030229657716
0.33 0.20547222222222222 0.011364760049257171 0.2641833333333333 0.013613590438703829
0.36 0.19931111111111116 0.01118157468656487 0.2568166666666667 0.01334461722385562
0.39 0.19350555555555554 0.011004882474229559 0.2498555555555555 0.01311983821714695
0.42 0.18780000000000005 0.010795965394581645 0.2425388888888889 0.012932846234218226
0.45 0.18296666666666667 0.010569709115424274 0.23606666666666673 0.01270897829551048
0.48 0.1777833333333333 0.010437639000732135 0.22964444444444443 0.012522792444702538
0.51 0.17256666666666673 0.010229507863832988 0.22341666666666674 0.012337047399747976
0.54 0.16656666666666667 0.010057787518521847 0.21646666666666667 0.012178155966195139
0.57 0.16216111111111114 0.009940571976918151 0.2110166666666666 0.012048344823848223
0.6 0.15772777777777777 0.009787085189877273 0.20541666666666678 0.011905011222839936
0.63 0.1524777777777778 0.00972126398290895 0.19886666666666664 0.011839036582170597
0.66 0.14789444444444447 0.009583912589278818 0.19312777777777781 0.011652329343864898
0.69 0.14350000000000004 0.009417946099106471 0.18758888888888892 0.011438822691788638
0.72 0.13841111111111112 0.009292841160826067 0.18128333333333332 0.011317666209265784
0.75 0.13396111111111114 0.009111009226153958 0.1757166666666666 0.011086927047187362
0.78 0.1301333333333333 0.0089274687723751 0.17068888888888886 0.010901389496220907
0.81 0.1252722222222222 0.008753944467095877 0.16417222222222222 0.010673504434023427
0.84 0.12088333333333336 0.008597817300641866 0.15875555555555557 0.010510986888258357
0.87 0.11713333333333331 0.008500120748006865 0.1540444444444445 0.010408738502068157
0.9 0.11348888888888889 0.008331327316620358 0.14971666666666666 0.010264333829538983
0.93 0.11115555555555558 0.008210184092274893 0.14669444444444438 0.01008112819786491
0.96 0.10831111111111112 0.008058121677126839 0.14312222222222226 0.009895207253793226
0.99 0.10559444444444445 0.007936162797849177 0.1393611111111111 0.009696791464176591
1.02 0.10290555555555553 0.0077913995257856096 0.13578888888888893 0.009496677208790001
1.05 0.10033888888888888 0.007587859482726911 0.13292222222222225 0.00927401910849741
1.08 0.09755555555555559 0.007414829928373848 0.12961666666666669 0.009073407905008553
1.11 0.09498333333333334 0.007240537800011551 0.12648333333333334 0.008867856797490076
1.14 0.09233888888888891 0.007030154276879516 0.12343888888888886 0.00865656187565305
1.17 0.08968888888888892 0.006825609371592844 0.12059444444444442 0.008455986604651501
1.2 0.08760000000000003 0.0066312704398140045 0.11789444444444447 0.00825619093422716
1.23 0.08543888888888888 0.006395327918732132 0.11527777777777774 0.007993818887486924
1.26 0.0832722222222222 0.006192833938918424 0.11258888888888888 0.007740106645861374
1.29 0.08113888888888889 0.005990095883389097 0.10975555555555556 0.007501470316922726
1.32 0.07861111111111113 0.005830742855890409 0.10643333333333331 0.007288311119216574
1.35 0.07636111111111113 0.005622572945969437 0.10373888888888888 0.007054718836161533
1.38 0.07451666666666666 0.005431045958273493 0.10137777777777776 0.00680032894346119
1.41 0.07253333333333334 0.005237733105588094 0.09882777777777782 0.006557139320003628
1.44 0.07067777777777777 0.005034532144603407 0.09632222222222221 0.006289669918827284
1.47 0.06868333333333333 0.004800995299875718 0.09379444444444447 0.006029770731138817
1.5 0.0666777777777778 0.004620799388063156 0.09154999999999998 0.005813586836202893
1.53 0.06480555555555556 0.004421536714983853 0.08913888888888889 0.005607709761348619
1.56 0.06278888888888888 0.004225404935829286 0.08661111111111114 0.005393267097534906
1.59 0.06047222222222224 0.004025836924421813 0.08377222222222219 0.005176674540775092
1.62 0.05836666666666668 0.0038586098606230163 0.0813222222222222 0.004999786352413918
1.65 0.05640555555555557 0.003704225473291069 0.07858888888888889 0.004821375341119374
1.68 0.053933333333333326 0.0035931230961980536 0.07564444444444443 0.004686438252495696
1.71 0.051794444444444455 0.0034799316296891744 0.0728611111111111 0.0045917875575232575
1.74 0.04971111111111111 0.003465464686111869 0.07041666666666667 0.004607818521320445
1.77 0.048477777777777765 0.003309020245059533 0.06875555555555553 0.004442482146843829
1.8 0.04689444444444445 0.0031489841491810114 0.06669444444444443 0.004263667817256789
1.83 0.04568888888888889 0.003016754497859533 0.06498888888888892 0.004138507230978088
1.86 0.04434999999999998 0.0028942593678064846 0.06293333333333335 0.003943900389523787
1.89 0.04281666666666666 0.0028136117109531216 0.061205555555555555 0.003870219580647497
1.92 0.04118888888888888 0.0027616825601215044 0.05918888888888888 0.003830686605046251
1.95 0.03983888888888888 0.002695122325273938 0.05735555555555553 0.003727090444379061
1.98 0.03846111111111109 0.0026199424918894113 0.05569999999999998 0.0036747531101544877
2.01 0.03679444444444445 0.002613008786712975 0.05347222222222222 0.0036623608656540284
2.04 0.035766666666666676 0.002545805111558801 0.05206666666666666 0.0035592888827559684
