x, oracle, model
-0.932418803811543, -0.65541480068529, -0.669432461931209
-0.931722173797767, -0.653425462533266, -0.667082959573014
-0.931576701804882, -0.653010536903765, -0.666592887325823
-0.930601223937636, -0.650232606198216, -0.66331182294905
-0.929979785763572, -0.648466885687826, -0.66122644323568
-0.929630444879795, -0.647475649922891, -0.660055870044827
-0.928920544123498, -0.645464364456212, -0.65768106026401
-0.928307002629343, -0.643729342179562, -0.655632958508795
-0.928132100860477, -0.643235294028198, -0.655049865667264
-0.928064775560149, -0.643045184457526, -0.654825505295113
-0.926510861135, -0.638667423421594, -0.649661490229522
-0.926231207389664, -0.637881624138223, -0.648735136945348
-0.925250434438864, -0.635130698399484, -0.645493811444202
-0.924775527960198, -0.633801420887284, -0.643928576518679
-0.924511839171094, -0.633064126962353, -0.643060714526469
-0.923053333343857, -0.6289960731189, -0.638276568511236
-0.922324844785908, -0.626970541397692, -0.635897472289952
-0.921347760741193, -0.624260450198768, -0.632717758713194
-0.920274906102993, -0.621293493291775, -0.62924153473703
-0.919884862708332, -0.620217109812385, -0.627981729651606
-0.916831234528558, -0.611832001835173, -0.61819453974671
-0.915680552787638, -0.608691509499092, -0.614542189304047
-0.915298094089892, -0.60765001243911, -0.613332655641616
-0.915152814159375, -0.607254695658446, -0.612873786530846
-0.914010649300875, -0.604152613823415, -0.6092774659725
-0.913740118383143, -0.603419374814953, -0.608428582319426
-0.913020258685479, -0.601471110751097, -0.606175286516255
-0.912503927697474, -0.600076212537374, -0.604564030298732
-0.912251505130018, -0.599395045760801, -0.603777836807948
-0.911461747735025, -0.597267125081789, -0.601324509477189
-0.910342815011792, -0.594260711831368, -0.597865433453423
-0.909687800462145, -0.592505367168863, -0.59584971539697
-0.9094266413364, -0.591806442110018, -0.595047935416069
-0.909187457684829, -0.591166800616905, -0.594314575064923
-0.908033683679844, -0.588087631863523, -0.590789825999253
-0.907678901310276, -0.587142903837008, -0.589710260355424
-0.907566175383907, -0.586842940397176, -0.589367670019307
-0.906504063408949, -0.584021572359376, -0.586149789129708
-0.906115254458949, -0.582990968313798, -0.584976356794494
-0.905686515748367, -0.581855901209673, -0.583685242915254
-0.905559140930554, -0.581518960212466, -0.583302235158437
-0.903338898694445, -0.575666275381894, -0.576668258506545
-0.903199804260953, -0.57530090158823, -0.576255307724141
-0.902925260344763, -0.574580173550593, -0.575441147575825
-0.902690058882698, -0.573963196339366, -0.574744628996921
-0.902072528551702, -0.572345361468933, -0.572920160611268
-0.901251213367692, -0.570198266581343, -0.570503195184619
-0.901215595061836, -0.570105272051656, -0.570398625006969
-0.900977614136052, -0.569484190978487, -0.569700475072871
-0.900954360327816, -0.569423527092491, -0.569632306027055
-0.90074389122614, -0.568874653476664, -0.569015709749752
-0.900238651088875, -0.567558471992719, -0.56753847250441
-0.900132199063376, -0.567281412369052, -0.567227751917654
-0.898582781017267, -0.563258803454396, -0.562725943772798
-0.898554363116144, -0.563185199678582, -0.562643738474252
-0.896938536014026, -0.55901048235333, -0.557991019902725
-0.896675248491066, -0.558332168906468, -0.557236877738453
-0.896635104042301, -0.558228791291258, -0.557121988779132
-0.896427184965543, -0.557693571073813, -0.556527362036859
-0.89425892907533, -0.552132132543966, -0.550367691205213
-0.894209080659905, -0.552004704074739, -0.550226964033609
-0.893754870279938, -0.550844485873516, -0.548946506881752
-0.89340177940653, -0.549943669583773, -0.547953384009658
-0.89319309148585, -0.549411713250144, -0.547367349172589
-0.892979210773865, -0.548866870661767, -0.54676744998722
-0.892712711555975, -0.548188483255357, -0.546020980841067
-0.892421372052682, -0.547447493458079, -0.545206222038312
-0.891203422269332, -0.544356892168467, -0.541814643963751
-0.890231659325218, -0.541899234349031, -0.539125373428566
-0.889544969709542, -0.540166949223914, -0.537233946784378
-0.888737585307551, -0.538134850427308, -0.535019493096005
-0.888461866593138, -0.537442048860264, -0.53426558919336
-0.887177712484918, -0.534223063695156, -0.530769814488081
-0.886466282257015, -0.532445193161678, -0.528844080113094
-0.883739570748042, -0.525667168435824, -0.521534880380538
-0.883684691132549, -0.525531335647597, -0.521388927589674
-0.883118112882793, -0.524130345739201, -0.519884756809801
-0.882053499388691, -0.521504510109002, -0.517071397990316
-0.881849398127972, -0.521002092635895, -0.516533969758145
-0.881552201212322, -0.520271080387732, -0.515752514498759
-0.881531608235404, -0.520220453097031, -0.515698415509984
-0.880385020711205, -0.517406716881579, -0.51269615964998
-0.87927506851901, -0.514692456003032, -0.509808251134007
-0.878352107287262, -0.512442621690124, -0.507420549203621
-0.877356183678092, -0.510022217939026, -0.504857924676067
-0.877007026497594, -0.509175446340135, -0.503962882132168
-0.876813889705274, -0.508707452107032, -0.503468538404877
-0.876629698542634, -0.508261398715236, -0.50299758840045
-0.876360191022703, -0.507609200976751, -0.502309369583023
-0.876288007044571, -0.507434612366599, -0.502125215176121
-0.874849573517057, -0.503963787649588, -0.498470920681415
-0.873561584515458, -0.500869305751756, -0.495223534763987
-0.872382529590862, -0.498047571506544, -0.49227104306294
-0.871716931516942, -0.496459299060045, -0.490612773598132
-0.870451178981882, -0.493448160818248, -0.487475983308169
-0.869927091510505, -0.492204935804331, -0.486183550981667
-0.869265278540656, -0.490637963801086, -0.484556763029155
-0.869018963548251, -0.490055608268928, -0.483952800990326
-0.868782693282967, -0.48949743096693, -0.483374230183837
-0.867537681035445, -0.486563094759404, -0.480337739624508
-0.8645211944392, -0.479501943496288, -0.473064991134428
-0.863601676773138, -0.477363064044368, -0.470871367067608
-0.86150877165159, -0.472518370219724, -0.465918353003256
-0.859486476365825, -0.467868194306244, -0.461184225585004
-0.859464054934848, -0.467816808093061, -0.461132019195767
-0.859364201543044, -0.467588006083401, -0.460899593523512
-0.859345915049625, -0.467546112830919, -0.460857041778576
-0.858883250089512, -0.466487003530381, -0.45978179715034
-0.85722786627682, -0.462710619712951, -0.455955820103533
