x y1 y1_err y2 y2_err
1 1.0 0.0 1.0 0.0
2 0.8708315847260304 0.00669327445344688 0.9547074559953839 0.00703649139108589
3 0.6985622964673882 0.009398524849437921 0.9057927433800145 0.026053347981246283
4 0.5467324699747925 0.011115164764397648 0.8663835167339663 0.048044720909441
5 0.44388226907557793 0.011453475991519003 0.8345426123533954 0.0584756399398813
6 0.3721409609003421 0.010643543987673504 0.8016220309483056 0.056139303457501046
7 0.32455739862201205 0.010170078334405409 0.7696092177367534 0.05093189645178204
8 0.28481390821443275 0.009305443297542513 0.7395194283134915 0.050526450462019194
9 0.25384389505971977 0.009385093872529629 0.7085367735027271 0.050983484727251505
10 0.22330599874524143 0.00871809922751618 0.6751926856826155 0.04947121108909922
11 0.1994769966173632 0.008280405852625764 0.6494620925984943 0.04952163803791719
12 0.178401070196924 0.007819645583839399 0.6331198072358258 0.05044920615267385
13 0.16560271239247007 0.007507349765586484 0.6116459818033327 0.05018483401822199
14 0.15076847664789275 0.007257815692134748 0.5856347600792062 0.049286412439623256
15 0.13842006523869074 0.0068547263017411045 0.5593963969010071 0.0476705469055704
16 0.1291632946680935 0.006670090235647749 0.5408338075486095 0.046400316130606745
17 0.12236392206351018 0.006495036956840384 0.5242210524764697 0.04491133470241166
18 0.11406561173113983 0.0062218491548345686 0.505382789308684 0.04312864866085569
19 0.10902856858597867 0.0061427119600494405 0.48827918140715953 0.041419851204207124
20 0.10239534741948009 0.005792367507132216 0.46671195056252435 0.03951018694081302
21 0.09645158488398592 0.005572510289363065 0.448630511970977 0.03798998603772194
22 0.09140120223678562 0.005409509991149944 0.4316439047439022 0.036375621368130884
23 0.08832398323676359 0.005351581750048569 0.4161243715473091 0.03500663791554271
24 0.08330431720658542 0.00483099341607626 0.4011670333618299 0.03385013927934831
25 0.07896307871392697 0.004685133941826354 0.39070663026695884 0.032734509633855984
26 0.07440860493022092 0.004420702278128132 0.3772718699142234 0.031651722645239945
27 0.07258749568262998 0.004556523359686099 0.36478238040607 0.03091049007210166
28 0.0695837595079683 0.00426816616628775 0.3548413159466635 0.02998170360716004
29 0.0659002264633608 0.004106159990305854 0.34442234533243293 0.028488384372701937
30 0.06313089760703142 0.003984859560654807 0.3354441027957613 0.027757215933907942
