x, true, surrogate
-0.974253773972357, 0.000472699196007, 0.001982905168404
-0.974186039705543, 0.000474810486494, 0.001978679817131
-0.971894407421, 0.000538753283715, 0.001842159976928
-0.971036120884292, 0.00055881139828, 0.001794097301513
-0.970313758738438, 0.000574009283753, 0.001754869454283
-0.970206109535899, 0.000576142021439, 0.001749116935284
-0.969887479476909, 0.000582253969538, 0.001732229646301
-0.969282794613683, 0.000593029678608, 0.001700746554223
-0.968643189044056, 0.000603260509321, 0.001668232458814
-0.967724861625432, 0.000615876401527, 0.001622920627968
-0.967432726149332, 0.000619384269334, 0.001608835976416
-0.966129458309223, 0.000632132315397, 0.00154787140851
-0.965571417858062, 0.000636177359341, 0.001522672431126
-0.965407592122541, 0.000637208161285, 0.001515374747794
-0.965309300423364, 0.000637792877598, 0.001511017845879
-0.965278987948146, 0.000637968116826, 0.001509677453307
-0.964125045047341, 0.000642892581589, 0.001459767991712
-0.963230435897889, 0.000644448668407, 0.001422528796501
-0.961956838513868, 0.000643461895109, 0.001371602066082
-0.961640196957071, 0.000642662118977, 0.00135930810951
-0.961264334069748, 0.000641438530498, 0.001344899470962
-0.960645556652795, 0.000638795578934, 0.001321607277189
-0.960580750317774, 0.000638474693107, 0.001319198201524
-0.959281525122366, 0.000630365942313, 0.001272083206113
-0.958960296802452, 0.000627890894677, 0.001260773108049
-0.958630043802864, 0.000625162507091, 0.001249281507623
-0.958215138597343, 0.000621478910143, 0.001235037173896
-0.957626722759752, 0.00061578598107, 0.00121519735574
-0.957421689437456, 0.000613677973358, 0.001208382083014
-0.956922322629899, 0.000608286319695, 0.001191991090386
-0.956872490280639, 0.000607728753402, 0.001190371418566
-0.95671722678033, 0.000605969363838, 0.001185343416167
-0.955918597387279, 0.000596407807228, 0.001159915780396
-0.954908099997838, 0.000583167950172, 0.001128757922188
-0.953359881317094, 0.000560720928638, 0.00108311993595
-0.952873954815725, 0.000553204769129, 0.001069298179831
-0.952789544291869, 0.000551878453651, 0.001066920947698
-0.952343186876368, 0.000544768405706, 0.001054465550505
-0.95203190961449, 0.000539718135656, 0.001045892907374
-0.952023354787142, 0.000539578316838, 0.001045658607437
-0.95190483828038, 0.000537635811149, 0.001042419795353
-0.951483517884832, 0.000530649962644, 0.001031012736718
-0.950405868404444, 0.000512263882993, 0.001002577493526
-0.950402486769433, 0.0005122051251, 0.001002489908564
-0.949828569221377, 0.000502147212018, 0.000987771003156
-0.949555745130687, 0.000497309859962, 0.000980874444986
-0.948737881054435, 0.000482619176311, 0.000960579105109
-0.948660171100745, 0.000481210006842, 0.000958679827601
-0.948293586684967, 0.000474534884374, 0.000949787226268
-0.947942181386476, 0.000468096841803, 0.000941365424635
-0.947255293046206, 0.000455418006603, 0.000925187931599
-0.947159066645369, 0.000453633232343, 0.000922951225646
-0.947080814244026, 0.000452180464005, 0.000921137612603
-0.946823193285672, 0.000447389593261, 0.000915200276512
-0.946635948778888, 0.000443900363042, 0.000910916822855
-0.945234053061354, 0.00041764752189, 0.000879679810232
-0.9451731096062, 0.000416503210301, 0.000878354477452
-0.942058814289782, 0.000358285142089, 0.000814031698399
-0.94044112433379, 0.00032866794097, 0.000783093092574
-0.939616155710052, 0.000313842042193, 0.000767920154966
-0.937368432070949, 0.000274668789104, 0.000728529369633
-0.935601363624174, 0.000245363852269, 0.000699443136346
-0.934101807783901, 0.000221676316411, 0.000675969882837
-0.933095541333254, 0.00020643587756, 0.000660807853637
-0.932418803811543, 0.000196494826805, 0.000650866751336
-0.931722173797767, 0.000186527225391, 0.000640841865833
-0.931576701804882, 0.000184480242988, 0.000638774626243
-0.930601223937636, 0.000171065910815, 0.000625140961648
-0.929979785763572, 0.000162806308817, 0.00061665834316
-0.929630444879795, 0.000158261938316, 0.000611957499713
-0.928920544123498, 0.00014924765646, 0.000602551747989
-0.928307002629343, 0.000141696081714, 0.000594578070782
-0.928132100860477, 0.000139584103015, 0.000592330922593
-0.928064775560149, 0.000138775959036, 0.00059146895401
-0.926510861135, 0.000120869504977, 0.000572032127524
-0.926231207389664, 0.000117798740254, 0.000568625205909
-0.925250434438864, 0.000107394111978, 0.000556888913383
-0.924775527960198, 0.000102559281182, 0.000551322146535
-0.924511839171094, 9.99317629270305E-05, 0.000548263276471
-0.923053333343857, 8.61275947271759E-05, 0.000531746604152
-0.922324844785908, 7.96900951551986E-05, 0.000523744765445
-0.921347760741193, 7.15260673081872E-05, 0.000513261889209
-0.920274906102993, 6.31713628154888E-05, 0.000502070164758
-0.919884862708332, 6.02893212476235E-05, 0.000498081647471
-0.916831234528558, 4.04818886757479E-05, 0.000468259561757
-0.915680552787638, 3.4230454180115E-05, 0.000457634026468
-0.915298094089892, 3.22924337669876E-05, 0.000454172679543
-0.915152814159375, 3.15741822322987E-05, 0.000452866878425
-0.914010649300875, 2.62641095499855E-05, 0.000442770600815
-0.913740118383143, 2.50921598228729E-05, 0.000440422542663
-0.913020258685479, 2.21292696294938E-05, 0.000434253441866
-0.912503927697474, 2.01405082591632E-05, 0.000429897979756
-0.912251505130018, 1.92088573629451E-05, 0.000427789446178
-0.911461747735025, 1.64623681320322E-05, 0.000421278947169
-0.910342815011792, 1.29940179725144E-05, 0.000412273902605
-0.909687800462145, 1.11846650708389E-05, 0.000407118237708
-0.9094266413364, 1.05072788531717E-05, 0.00040508594973
-0.909187457684829, 9.9084839755912E-06, 0.000403236182598
-0.908033683679844, 7.30185314717196E-06, 0.000394465085671
-0.907678901310276, 6.59131949265083E-06, 0.00039181758867
